Dokument ID,Jahr_ED,Gattungslabel_ED_normalisiert,Medium_ED,Medientyp_ED,seriell,Gender
00126-00,1822,E,Aglaja. Ein Taschenbuch für das Jahr 1823.,Taschenbuch,False,m
00127-00,1822,E,Aglaja. Ein Taschenbuch für das Jahr 1823.,Taschenbuch,False,m
00128-00,1822,0E,Aglaja. Ein Taschenbuch für das Jahr 1823.,Taschenbuch,False,
00129-00,1822,E,Aglaja. Ein Taschenbuch für das Jahr 1823.,Taschenbuch,False,m
00130-00,1822,N,Aglaja. Ein Taschenbuch für das Jahr 1823.,Taschenbuch,False,
00131-00,1823,E,Aglaja. Ein Taschenbuch für das Jahr 1824.,Taschenbuch,False,f
00132-00,1823,E,Aglaja. Ein Taschenbuch für das Jahr 1824.,Taschenbuch,False,m
00133-00,1823,E,Aglaja. Ein Taschenbuch für das Jahr 1824.,Taschenbuch,False,m
00134-00,1823,0E,Aglaja. Ein Taschenbuch für das Jahr 1824.,Taschenbuch,False,m
00135-00,1834,N,Urania. Ein Taschenbuch für das Jahr 1835,Taschenbuch,False,
00136-00,1834,N,Urania. Ein Taschenbuch für das Jahr 1835.,Taschenbuch,False,m
00137-00,1834,0E,Urania. Ein Taschenbuch für das Jahr 1835.,Taschenbuch,False,m
00138-00,1835,N,Urania. Ein Taschenbuch für das Jahr 1836. ,Taschenbuch,False,f
00139-00,1835,N,Urania. Ein Taschenbuch für das Jahr 1836.,Taschenbuch,False,f
00140-00,1835,N,Urania. Ein Taschenbuch für das Jahr 1836.,Taschenbuch,False,
00141-00,1824,E,Aglaja. Ein Taschenbuch für das Jahr 1825.,Taschenbuch,False,f
00142-00,1824,E,Aglaja. Ein Taschenbuch für das Jahr 1825.,Taschenbuch,False,m
00143-00,1825,N,Aglaja. Ein Taschenbuch für das Jahr 1826.,Taschenbuch,False,f
00144-00,1825,N,Aglaja. Ein Taschenbuch für das Jahr 1826.,Taschenbuch,False,m
00145-00,1825,E,Aglaja. Ein Taschenbuch für das Jahr 1826.,Taschenbuch,False,m
00146-00,1825,0E,Aglaja. Ein Taschenbuch für das Jahr 1826.,Taschenbuch,False,f
00147-00,1826,E,Aglaja. Ein Taschenbuch für das Jahr 1827.,Taschenbuch,False,f
00148-00,1826,0E,Aglaja. Ein Taschenbuch für das Jahr 1827.,Taschenbuch,False,m
00149-00,1826,E,Aglaja. Ein Taschenbuch für das Jahr 1827.,Taschenbuch,False,m
00150-00,1840,N,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,m
00151-00,1840,N,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,m
00152-00,1840,E,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,m
00153-00,1840,N,Urania. Ein Taschenbuch für das Jahr 1841.,Taschenbuch,False,m
00154-00,1827,0E,Aglaja. Ein Taschenbuch für das Jahr 1828.,Taschenbuch,False,m
00155-00,1827,N,Aglaja. Ein Taschenbuch für das Jahr 1828.,Taschenbuch,False,m
00156-00,1827,XE,Aglaja. Ein Taschenbuch für das Jahr 1828.,Taschenbuch,False,
00157-00,1827,0E,Aglaja. Ein Taschenbuch für das Jahr 1828.,Taschenbuch,False,m
00158-00,1827,E,Aglaja. Ein Taschenbuch für das Jahr 1828.,Taschenbuch,False,
