id,nachname,,titel,untertitel,label,suspense,liebesspannung,rätselspannung,ende,humor,erotik,gewalt,peripetien,strängigkeit,zentr_konflikt,grund,verwechslung,zufall,enthüllung,stadt_land,region,wissen_hist,wissen_wissenschaft,wissen_klassisch,wissen_kunst,wissen_zeitgesch,figurenanzahl,nebenfigurenanazahl,cluster_anzahl,cluster_komplexität,cluster_verknüpfung,adel,familie,figuren_m/w,ökonomisch,gesamt,anm
00147-00,Pichler,Caroline,Der Wahlspruch.,Erzählung von Caroline Pichler.,E,nein,stark,nein,nein,,,,3,1 Haupt- und 1 Hintergrundhandlung,ja,rechtmäßige vs. unrechtmäßige Liebe,ja,ja,nein,stadt+land,Frankreich,mittel,nein,nein,,nein,8,,1,Alle mit allen,,Durchmischt,ja,beides,mittel,moralisch,
00141-00,Rochlitz,Friedrich,Vater Hartmann und die Seinigen.,Erzählung von Friedrich Rochlitz.,E,nein,mittel,mittel,nein,,,,2,episodisch,ja,Unvereinbarkeit der alten und neuen Welt (Pflichtbewusstsein. Ordnungs vs. Pflichtvergessenheit. Liederlichkeit). Übertritt ins Erwachsenenalter,nein,ja,ja,land,unbestimmt,nein,nein,nein,,nein,8,,2,,mittel,Nein,ja,beides,mittel,moralisch,
00143-00,Schefer,Leopold,Der Kuß des Engels.,Novelle von Leopold Schefer.,N,nein,nein,stark,tragisch,,,,1,episodisch,ja,Frömmigkeit als Tugend vs. als weltverkennenden Transzendenzsehnsucht,nein,ja,nein,stadt+land,Italien,nein,nein,gering,,nein,7,,1,Stern,,Nein,ja,männlich,nein,moralisch,
00120-00,Schefer,Leopold,Die Düvecke oder die Leiden einer Königin,Erzählung von Leopold Schefer,E,stark,mittel,nein,tragisch,,,,2,episodisch,nein,,ja,ja,ja,stadt+land,Schweden,stark,nein,nein,,nein,6,,1,Stern,,Ja. hoher Adel,ja,weiblich,nein,historisch,
00121-00,Schreyvogel,Joseph [als C.A. West],Samuel Brink´s letzte Liebesgeschichte.,Italien,Episode,mittel,stark,nein,nein,,,,2,einsträngig,ja,Liebe bei großem Altersunterschied,nein,nein,nein,stadt+land,unbestimmt,nein,nein,nein,,nein,5,,2,,stark,Nein,ja,männlich,mittel,moralisch,
00104-00,Schreyvogel,Joseph [als West],Samuel Brink’s erste Liebes- und Heirathsgeschichte,Von ihm selbst erzählt. Mitgetheilt von West.,0PE,gering,stark,stark,tragisch,,,,1,einsträngig,ja,Abenteuerhandlung: Aufdeckung der Hintergründe,nein,nein,ja,land,Deutschland,nein,nein,nein,,gering,10,,2,,mittel,Durchmischt,nein,männlich,nein,unterhaltend,
00130-00,Schulze,Friedrich August [als Friedrich Laun],Die Schachtel. ,Novelle von Fr. Laun.,N,nein,nein,mittel,nein,,,,2,episodisch,ja,Geiz ,nein,nein,nein,stadt,unbestimmt,gering,nein,nein,,nein,7,,2,,mittel,Nein,ja,weiblich,stark,moralisch,
00155-00,Seidl,Johann Gabriel,Das Dreifaltigkeitsblümchen.,(Viola tricolor). Bruchstücke aus einem Reise-Tagebuch. Novelle von Joh. Gabr. Seidl.,N,mittel,gering,mittel,tragisch,,,,2,einsträngig,ja,abenteuerliches Junggesellenleben vs. Liebe,ja,ja,nein,stadt+land,Italien,nein,nein,nein,,nein,5,,1,Alle mit allen,,Nein,nein,männlich,nein,moralisch,
00136-00,Ungern-Sternberg,Alexander von,Die Alchymisten,Novelle von A. Freiherrn von Sternberg,N,stark,gering,mittel,tragisch,,,,2,1 Haupt- und 1 Hintergrundhandlung,ja,Italien,ja,nein,ja,land,Deutschland,mittel,stark,nein,,nein,8,,1,Stern,,Nein,nein,männlich,stark,historisch. moralisch. ästhetisch-philosophisch,
00138-00,Ungern-Sternberg,Alexander von,Die Gebrüder Breughel,Novelle von A. Freiherrn von Sternberg,N,stark,gering,mittel,nein,,,,1,episodisch,nein,,nein,nein,ja,stadt+land,Niederlande,stark,nein,nein,stark,nein,9,,1,Alle mit allen,,Nein,nein,männlich,gering,historisch. ästhetisch-philosophisch,
